"key","de","en",
"Teleporter_Haus","Möchtest du zur Orbitalen Alchemie gebracht werden?","Do you want to enter the Orbital Alchemy?",
"Teleporter_Void","Möchtest du die Orbitalen Alchemie verlassen?","Do you want to leave the Orbital Alchemy?",
"Bought","Du hast <item amount> <item name> für <price> <price item name> gekauft!","You bought <item amount> <item name> for <price> <price item name>!",
"Cannot_Buy","Du kannst das nicht kaufen.<br>Du benötigst <price> <price item name>.","You cant buy that.<br>You need <price> <price item name>.",
"Obtained","Du hast <loot amount> <loot name> erhalten!","You obtained <loot amount> <loot name>!",
"Cannot_Open","Du kannst d<interactable> nicht öffnen. Du benötigst <price> <price item name>.","You cant open the <interactable>. You need <price> <price item name>.",
"Empty","D<interactable> ist leer... .","The <interactable> is empty... .",
"Door","ie Tür","door",
"Treasure","ie Truhe","chest",
"Schild_Dorf","Dieser Weg führt zum Wald der Blobs. Wir haben dich gewarnt... .","This way leads to the forest of blobs. We have warned you... .",
"Schild_King_Blob","Dies ist mein Schatz! MEIN SCHATZ! gez. König Glibber","This is my treasure. MY TREASURE! signed King Goo",
"Schild_Teich","Der Legende nach fiel ein Engel vom Himmel und der Einschlag bildete diesen See.","Legends told, an angel felt from heaven and its impact created this lake.",
"Schild_Zwilichttruhe","Nur die goldenen Strahlen der untergehende Sonne offenbaren das Geheimnis.","Only the golden light of the sunset reveals the secret.",
"Schild_Titania","Vorsicht, hier fällt man tief!","Be carefull, you can fall here!"
"Titania_Door","Lässt sich nicht öffen... Vielleicht öffnet ein magischer Gegenstand das Tor...","Doesn't open... Maybe a magical item may open the door...",
